preferred_study_level,phd_supervisor,supervisor_approval,intended_study_area,preferred_dest_1,preferred_dest_2,preferred_dest_3,study_plan,uni_contacted,application_process,current_status,work_experience,birth_year,passport,academic_backlogs,number_of_backlogs,budget,funding_source,parents_occupation,english_test_taken,english_test_name,english_test_score,family_abroad,other_consultants,lead_converted_flag
Vocational,No,No,Humanities & Social Sciences,Canada,Australia,Australia,01-2022,No,No,Working professional,1-3,1999,No,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,Yes,not in touch,0
Postgraduate,No,No,Other,Canada,USA,Ireland,01-2021,No,No,Student,0,0,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,Manya consultants,1
Vocational,No,No,Other,Canada,New Zealand,Ireland,01-2021,No,No,Working professional,1-3,1992,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Humanities & Social Sciences,Canada,USA,Australia,01-2021,No,No,Student,0,2002,Yes,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No did not contact ,0
Undergraduate,No,No,Other,Canada,Other,Other,01-2022,No,No,Student,0,2005,No,No,0,Not provided,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Canada,Australia,01-2021,No,No,Student,0,0,Yes,No,0,10-20,Self funding,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Languages,UK,USA,Australia,01-2022,Yes,No,Working professional,1-3,1996,Yes,No,0,Not provided,Self funding,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,New Zealand,Ireland,Canada,01-2021,No,No,Student,0,1999,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2021,Yes,Yes,Working professional,4-6,1986,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,New Zealand,Ireland,01-2021,Yes,No,Student,0,1999,Yes,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,No,Global Reach,0
Postgraduate,No,No,Law/legal studies,UK,USA,Ireland,09-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,Yes,No did not contact ,0
Postgraduate,No,No,Other,Canada,UK,Ireland,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,UK,Canada,Australia,01-2021,No,No,Student,0,1985,Yes,Yes,<5,Not provided,Other,Not provided,No,Not Taken,0.0,Yes,SI-UK consultants,0
Postgraduate,No,No,Other,Canada,New Zealand,USA,01-2021,No,No,Student,0,1999,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,USA,Other,01-2021,No,No,Student,0,1999,Yes,No,0,20-30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,UK,Other,Other,01-2021,No,No,Working professional,7+,1998,Yes,Yes,<5,10-20,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,UK,UK,01-2021,No,No,Student,0,1999,No,No,0,<10,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Canada,USA,09-2022,No,No,Student,0,2002,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,Other,Canada,USA,New Zealand,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Not provided,In-Service,Yes,IELTS,6.0,No,Mentor Mentee,0
Undergraduate,No,No,Engineering,UK,Australia,New Zealand,01-2021,Yes,No,Student,0,1999,Yes,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,Not in touch with any consultant,0
Undergraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2022,No,No,Student,0,2002,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Australia,Ireland,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,Not contacted any one.,0
Undergraduate,No,No,Engineering,UK,Other,Other,01-2021,No,No,Working professional,4-6,1991,Yes,No,0,Not provided,Not provided,Own business,Yes,IELTS,6.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,UK,Australia,Canada,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Not provided,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,UK,UK,UK,01-2021,No,No,Working professional,1-3,1998,No,Yes,<5,>30,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Other,UK,Ireland,New Zealand,01-2021,No,No,Working professional,4-6,1987,Yes,No,0,10-20,Sponsorship by relatives,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2021,No,No,Working professional,<1,1997,Yes,Yes,>10,10-20,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,Other,Other,01-2022,No,No,Student,0,1999,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,USA,USA,USA,01-2021,Yes,Yes,Working professional,7+,1985,Yes,No,0,>30,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Other,UK,Australia,Canada,01-2000,No,No,Working professional,1-3,1993,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Sciences,UK,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Canada,Ireland,New Zealand,01-2021,No,No,Working professional,4-6,1993,Yes,No,0,10-20,Bank loan,Not provided,No,Not Taken,0.0,No,Not contacted any one,0
Undergraduate,No,No,Other,UK,Ireland,Canada,01-2021,Yes,No,Student,0,2002,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,Rivyareet Overseas,0
Vocational,No,No,Other,Canada,Ireland,Ireland,01-2021,No,No,Working professional,1-3,1994,No,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,No,Na,0
Postgraduate,No,No,Other,USA,Ireland,New Zealand,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Other,Not provided,Yes,IELTS,7.5,Yes,leat scholarship consultant,0
Postgraduate,No,No,Other,Canada,Canada,Canada,01-2021,No,No,Working professional,4-6,1992,Yes,Yes,<5,10-20,Bank loan,Own business,Yes,IELTS,6.0,Yes,No,1
Postgraduate,No,No,Business & Economics,UK,Canada,Australia,01-2021,No,No,Student,0,1996,Yes,No,0,<10,Not provided,Own business,No,Not Taken,0.0,Yes,No did not contact ,0
Vocational,No,No,Engineering,Canada,Other,Other,01-2021,Yes,No,Student,0,2001,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,7.0,Yes,No,1
Undergraduate,No,No,Languages,UK,Canada,Ireland,01-2022,Yes,No,Student,0,2004,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,"Chopra, Ecucoach. ",0
Vocational,No,No,Engineering,Canada,New Zealand,UK,01-2021,No,No,Working professional,<1,1995,No,Yes,<5,10-20,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Other,No,No,Other,USA,Other,Other,01-2021,No,No,Student,0,1980,Yes,No,0,Not provided,Not provided,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Ireland,Canada,01-2021,No,No,Working professional,<1,1997,Yes,Yes,<5,20-30,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,USA,Canada,Canada,01-2021,No,No,Student,0,2002,No,Yes,<5,<10,Parents asset,In-Service,No,Not Taken,0.0,No,Not in touch ,0
Postgraduate,No,No,Other,Australia,USA,UK,01-2021,No,No,Student,0,2000,No,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Canada,UK,01-2021,Yes,No,Working professional,1-3,1996,Yes,No,0,>30,Bank loan,In-Service,Yes,IELTS,8.0,Yes,No,0
Vocational,No,No,Other,Australia,USA,New Zealand,01-2021,No,No,Student,0,1997,Yes,No,0,<10,Combined self /parent funding and bank loan,Own business,Yes,Other,8.0,Yes,No,0
Postgraduate,No,No,Other,Ireland,New Zealand,Australia,01-2022,No,No,Working professional,<1,1995,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Other,USA,UK,Other,01-2021,No,No,Student,0,1992,No,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,USA,Other,Other,01-2021,No,No,Student,0,2007,No,Yes,<5,Not provided,Not provided,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,USA,Canada,Australia,01-2021,No,No,Student,0,1999,Yes,Yes,<5,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Media & Communications,USA,UK,Canada,01-2021,No,No,Working professional,1-3,1992,Yes,Yes,<5,<10,Self funding,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,USA,Canada,Australia,01-2021,No,No,Working professional,<1,1997,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,USA,UK,Other,01-2021,No,No,Student,0,1996,Yes,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Canada,UK,01-2021,No,No,Working professional,<1,1997,Yes,No,0,20-30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,Canada,Australia,USA,01-2021,No,No,Student,0,2000,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Australia,UK,01-2021,No,No,Student,0,1999,Yes,No,0,>30,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Canada,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,Other,Other,01-2021,No,No,Student,0,1998,No,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,USA,Canada,UK,09-2021,No,No,Working professional,1-3,1997,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Canada,UK,01-2021,No,No,Student,0,2000,No,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,USA,UK,Other,01-2021,No,No,Student,0,1998,Yes,Yes,>10,Not provided,Parents asset,In-Service,Yes,GRE,8.0,No,"UniAbroad, Valmiki ",0
Vocational,No,No,Computer Science and Information Technology,Canada,Other,Other,06-2005,No,No,Student,0,2003,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,USA,Canada,Australia,01-2021,No,No,Student,0,1999,Yes,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Vocational,No,No,Other,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1988,Yes,No,0,Not provided,Not provided,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Australia,Ireland,UK,01-2021,No,No,Student,0,1989,Yes,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,Canada,Ireland,01-2021,No,No,Student,0,2000,No,No,0,<10,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Vocational,No,No,Other,Australia,Ireland,Other,01-2021,No,No,Student,0,1995,Yes,No,0,<10,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Education,Ireland,Other,Other,01-2021,No,No,Working professional,4-6,1990,Yes,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,UK,Ireland,09-2021,No,No,Student,0,1998,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,Australia,Australia,01-2021,Yes,No,Working professional,1-3,1995,Yes,Yes,<5,20-30,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,1
Undergraduate,No,No,Engineering,Australia,New Zealand,UK,01-2021,No,No,Student,0,2001,Yes,No,0,Not provided,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Business & Economics,UK,Canada,Australia,01-2022,No,No,Student,0,2004,Yes,No,0,Not provided,Other,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,Other,Canada,Canada,Canada,01-2021,No,No,Working professional,7+,1989,Yes,No,0,<10,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Australia,Canada,USA,01-2021,Yes,No,Student,0,1998,Yes,No,0,10-20,Parents asset,In-Service,Yes,IELTS,6.0,Yes,No,1
Postgraduate,No,No,Other,Australia,Canada,New Zealand,01-2021,Yes,Yes,Working professional,4-6,1991,Yes,No,0,<10,Combined self /parent funding and bank loan,Own business,Yes,Other,7.0,Yes,MWTE Counsultants,0
Vocational,No,No,Other,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Sponsorship by relatives,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Canada,Australia,UK,01-2021,No,No,Working professional,1-3,1994,No,Yes,<5,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Australia,UK,Ireland,01-2021,No,No,Working professional,<1,1997,No,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Engineering,USA,Canada,Other,01-2021,Yes,No,Student,0,1999,Yes,Yes,<5,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Engineering,Australia,Canada,UK,01-2021,No,No,Student,0,1999,No,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Working professional,<1,1997,No,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,USA,Canada,01-2021,No,No,Student,0,1999,Yes,No,0,10-20,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Australia,New Zealand,Other,01-2021,No,No,Working professional,7+,1985,Yes,Yes,<5,10-20,Self funding,Own business,No,Not Taken,0.0,Yes,Y Axis ,0
Postgraduate,No,No,Business & Economics,Australia,USA,Other,01-2021,No,No,Working professional,<1,1996,Yes,No,0,Not provided,Other,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Australia,Canada,USA,01-2021,No,No,Student,0,1999,No,Yes,<5,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Other,UK,Canada,New Zealand,01-2021,Yes,No,Student,0,2003,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,USA,Other,Other,01-2021,No,No,Working professional,7+,1988,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Student,0,1997,No,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,Australia,Other,01-2021,Yes,No,Student,0,2002,Yes,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,USA,Canada,Canada,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Bank loan,In-Service,Yes,GRE,10.0,No,No,0
Postgraduate,No,No,Other,USA,Canada,Other,01-2021,No,No,Student,0,1999,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,USA,Canada,UK,01-2022,No,No,Student,0,2000,Yes,No,0,>30,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,USA,UK,Australia,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Self funding,Own business,Yes,IELTS,6.5,No,No,0
Postgraduate,No,No,Business & Economics,UK,UK,UK,01-2021,No,No,Student,0,1996,Yes,No,0,20-30,Parents asset,Own business,Yes,TOEFL,8.1,No,No,0
Postgraduate,No,No,Other,Australia,UK,Ireland,01-2021,Yes,No,Working professional,1-3,1992,Yes,Yes,>10,20-30,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Other,Other,01-2021,No,No,Student,0,1991,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,USA,New Zealand,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Australia,Canada,01-2022,No,No,Student,0,2001,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,UK,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Other,UK,Canada,Australia,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,<10,Bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Other,USA,UK,Canada,01-2021,No,No,Student,0,1996,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Australia,UK,01-2021,No,No,Student,0,1996,Yes,No,0,>30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Other,Canada,UK,Other,01-2021,No,No,Student,0,2002,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,yes,0
Postgraduate,No,No,Engineering,Canada,Australia,UK,01-2021,No,No,Working professional,1-3,1996,Yes,Yes,6,20-30,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,6.0,No,No,0
Undergraduate,No,No,Sciences,UK,Ireland,Canada,01-2021,No,No,Student,0,2001,No,No,0,20-30,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,UK,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,UK,Australia,Other,01-2021,No,No,Student,0,1998,Yes,No,0,10-20,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,UK,Canada,Australia,01-2021,No,No,Working professional,1-3,1997,Yes,No,0,<10,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Law/legal studies,UK,Other,Other,01-2021,Yes,No,Student,0,2003,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,Ascent Cousultants,0
Postgraduate,No,No,Other,UK,UK,UK,01-2021,No,No,Student,0,1995,Yes,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No did not contact ,0
Postgraduate,No,No,Other,Ireland,Other,Other,01-2021,No,No,Student,0,2001,Yes,No,0,Not provided,Other,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Canada,Canada,01-2021,No,No,Student,0,1988,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,No,only in touch with idp,0
Postgraduate,No,No,Other,Canada,UK,Other,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Sciences,UK,Canada,New Zealand,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,no one,0
Postgraduate,No,No,Other,UK,Australia,Other,01-2021,No,No,Working professional,1-3,1994,Yes,No,0,20-30,Parents asset,Own business,Yes,IELTS,7.5,No,Krishna Consultant.,0
Postgraduate,No,No,Engineering,Canada,Australia,Other,01-2021,No,No,Working professional,7+,1988,Yes,No,0,<10,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,Canada,USA,01-2021,No,No,Student,0,2000,No,No,0,<10,Parents asset,Own business,No,Not Taken,0.0,Yes,no one,0
Postgraduate,No,No,Engineering,Canada,Australia,Other,01-2021,No,No,Student,0,1997,No,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Business & Economics,Canada,Australia,Other,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,USA,Other,Other,01-2021,Yes,No,Student,0,2002,No,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Australia,Other,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Australia,Australia,Australia,01-2021,No,No,Student,0,2000,No,Yes,<5,<10,Parents asset,In-Service,No,Not Taken,0.0,No,He had a word with UK UNIVERSTIES regarding his higher studies in aborad,0
Vocational,No,No,Computer Science and Information Technology,Canada,UK,USA,01-2021,No,No,Student,0,2000,No,No,0,<10,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1997,Yes,No,0,>30,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,USA,New Zealand,01-2021,Yes,No,Working professional,1-3,1997,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,"Yocket, ubergrad and eduins 
",0
Postgraduate,No,No,Other,USA,Canada,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,1
Undergraduate,No,No,Law/legal studies,UK,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,>30,Bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Sciences,UK,Other,Other,01-2021,Yes,No,Working professional,<1,1993,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Other,Canada,Other,Other,01-2021,Yes,No,Student,0,2001,No,No,0,>30,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,UK,Other,Other,01-2021,Yes,No,Student,0,2000,No,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Sciences,Canada,UK,USA,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,Only in touch with IDP,0
